text,text_en,cmp_code,eu_code,party,domain
ZEIT FÜR WOHLSTAND SOZIALE MARKTWIRTSCHAFT UND GESUNDHEIT,TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH,H,,AfD,Non-coded
SOZIALE MARKTWIRTSCHAFT,SOCIAL MARKET ECONOMY,H,,AfD,Non-coded
"Wir stehen fest zu den Prinzipien der Sozialen Marktwirtschaft, die seit Jahrzehnten Wohlstand und sozialen Frieden in unserem Land sichern.","We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades.",403,,AfD,Economy
Wir wollen in einer Zeit globaler Herausforderungen die Grundwerte unserer Wirtschaftsordnung bewahren,"In a time of global challenges, we want to preserve the fundamental values of our economic order",403,,AfD,Economy
"und so weiterentwickeln, dass wir eine freiheitliche und erfolgreiche Gesellschaft gewährleisten, in der die Bürger ihr Leben eigenverantwortlich und selbstbestimmt führen können.",and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined.,201.1,,AfD,Non-coded
"Wir setzen uns für eine wettbewerbsfähige Wirtschaft ein, die Innovation",We are committed to a competitive economy that promotes innovation,411,,AfD,Economy
"und Unternehmertum fördert,","and entrepreneurship,",402,,AfD,Economy
Wohlstand für alle schafft,creates prosperity for all,410,,AfD,Economy
und insbesondere dem Mittelstand neue Entfaltungsmöglichkeiten eröffnet.,"and, in particular, opens up new opportunities for small and medium-sized enterprises.",704,,AfD,Social Groups
"Wir treten dafür ein, dass Arbeitnehmer immer deutlich bessergestellt sind als Empfänger von Sozialleistungen.",We are committed to ensuring that employees are always significantly better off than recipients of social benefits.,505,,AfD,Welfare & Quality
Ihre Arbeit soll eine auskömmliche und sichere Rente gewährleisten.,Their work should guarantee an adequate and secure pension.,701,,AfD,Social Groups
"Wir tragen Sorge dafür, dass wirklich Bedürftige in den Grundsicherungssystemen aufgefangen werden.",We ensure that those who are really in need are covered by the basic security systems.,504,,AfD,Welfare & Quality
Ein selbstgewähltes Leben auf Kosten der Allgemeinheit wird nicht gefördert.,A self-chosen life at the expense of the general public is not encouraged.,505,,AfD,Welfare & Quality
Mit unseren Maßnahmen bringen wir wieder Optimismus und Zuversicht in die Gesellschaft.,Our measures will bring optimism and confidence back into society.,305.1,,AfD,Non-coded
"Viele Regelungen der EU schwächen Wirtschaft und Wettbewerb,",Many EU regulations weaken the economy and competition,110,,AfD,External Relations
statt sie zu stärken.,instead of strengthening them.,410,,AfD,Economy
Beispiele dafür sind der „Green Deal“ und der Einfluss auf Energiefragen.,"Examples of this are the ""Green Deal"" and the influence on energy issues.",110,,AfD,External Relations
Freies Unternehmertum und Wirtschaftsstandort stärken,Strengthening free enterprise and the business location,H,,AfD,Non-coded
