text,text_en,cmp_code,eu_code,ends_with_period,ends_with_question,ends_with_exclamation,ends_with_colon,ends_with_semicolon,ends_with_comma,is_sentence_complete,is_clause_complete,has_no_punctuation,text_length,word_count,context,thought_id,input_text
ZEIT FÜR DEUTSCHLAND.,TIME FOR GERMANY.,,,True,False,False,False,False,False,True,True,False,17,3,TIME FOR GERMANY.,0,TIME FOR GERMANY. </s> </s> TIME FOR GERMANY. </s>
PROGRAMM DER ALTERNATIVE FÜR DEUTSCHLAND FÜR DIE WAHL ZUM 21. DEUTSCHEN BUNDESTAG,PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT,,,False,False,False,False,False,False,False,False,True,93,15,"TIME FOR GERMANY. PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades.",1,"PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT </s> </s> TIME FOR GERMANY. PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades. </s>"
ZEIT FÜR WOHLSTAND SOZIALE MARKTWIRTSCHAFT UND GESUNDHEIT,TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH,H,,False,False,False,False,False,False,False,False,True,52,8,"TIME FOR GERMANY. PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades.",1,"TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH </s> </s> TIME FOR GERMANY. PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades. </s>"
SOZIALE MARKTWIRTSCHAFT,SOCIAL MARKET ECONOMY,H,,False,False,False,False,False,False,False,False,True,21,3,"TIME FOR GERMANY. PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades.",1,"SOCIAL MARKET ECONOMY </s> </s> TIME FOR GERMANY. PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades. </s>"
"Wir stehen fest zu den Prinzipien der Sozialen Marktwirtschaft, die seit Jahrzehnten Wohlstand und sozialen Frieden in unserem Land sichern.","We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades.",403,,True,False,False,False,False,False,True,True,False,146,24,"TIME FOR GERMANY. PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades.",1,"We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades. </s> </s> TIME FOR GERMANY. PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades. </s>"
Wir wollen in einer Zeit globaler Herausforderungen die Grundwerte unserer Wirtschaftsordnung bewahren,"In a time of global challenges, we want to preserve the fundamental values of our economic order",403,,False,False,False,False,False,False,False,False,True,96,17,"PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades. In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined.",2,"In a time of global challenges, we want to preserve the fundamental values of our economic order </s> </s> PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades. In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. </s>"
"und so weiterentwickeln, dass wir eine freiheitliche und erfolgreiche Gesellschaft gewährleisten, in der die Bürger ihr Leben eigenverantwortlich und selbstbestimmt führen können.",and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined.,201.1,,True,False,False,False,False,False,True,True,False,164,27,"PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades. In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined.",2,"and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. </s> </s> PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH SOCIAL MARKET ECONOMY We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades. In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. </s>"
"Wir setzen uns für eine wettbewerbsfähige Wirtschaft ein, die Innovation",We are committed to a competitive economy that promotes innovation,411,,False,False,False,False,False,False,False,False,True,66,10,"In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. We are committed to a competitive economy that promotes innovation and entrepreneurship, creates prosperity for all and, in particular, opens up new opportunities for small and medium-sized enterprises.",3,"We are committed to a competitive economy that promotes innovation </s> </s> In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. We are committed to a competitive economy that promotes innovation and entrepreneurship, creates prosperity for all and, in particular, opens up new opportunities for small and medium-sized enterprises. </s>"
"und Unternehmertum fördert,","and entrepreneurship,",402,,False,False,False,False,False,True,False,False,False,21,2,"In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. We are committed to a competitive economy that promotes innovation and entrepreneurship, creates prosperity for all and, in particular, opens up new opportunities for small and medium-sized enterprises.",3,"and entrepreneurship, </s> </s> In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. We are committed to a competitive economy that promotes innovation and entrepreneurship, creates prosperity for all and, in particular, opens up new opportunities for small and medium-sized enterprises. </s>"
Wohlstand für alle schafft,creates prosperity for all,410,,False,False,False,False,False,False,False,False,True,26,4,"In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. We are committed to a competitive economy that promotes innovation and entrepreneurship, creates prosperity for all and, in particular, opens up new opportunities for small and medium-sized enterprises.",3,"creates prosperity for all </s> </s> In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. We are committed to a competitive economy that promotes innovation and entrepreneurship, creates prosperity for all and, in particular, opens up new opportunities for small and medium-sized enterprises. </s>"
und insbesondere dem Mittelstand neue Entfaltungsmöglichkeiten eröffnet.,"and, in particular, opens up new opportunities for small and medium-sized enterprises.",704,,True,False,False,False,False,False,True,True,False,86,12,"In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. We are committed to a competitive economy that promotes innovation and entrepreneurship, creates prosperity for all and, in particular, opens up new opportunities for small and medium-sized enterprises.",3,"and, in particular, opens up new opportunities for small and medium-sized enterprises. </s> </s> In a time of global challenges, we want to preserve the fundamental values of our economic order and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined. We are committed to a competitive economy that promotes innovation and entrepreneurship, creates prosperity for all and, in particular, opens up new opportunities for small and medium-sized enterprises. </s>"
"Wir treten dafür ein, dass Arbeitnehmer immer deutlich bessergestellt sind als Empfänger von Sozialleistungen.",We are committed to ensuring that employees are always significantly better off than recipients of social benefits.,505,,True,False,False,False,False,False,True,True,False,115,17,"We are committed to a competitive economy that promotes innovation and entrepreneurship, creates prosperity for all and, in particular, opens up new opportunities for small and medium-sized enterprises. We are committed to ensuring that employees are always significantly better off than recipients of social benefits.",4,"We are committed to ensuring that employees are always significantly better off than recipients of social benefits. </s> </s> We are committed to a competitive economy that promotes innovation and entrepreneurship, creates prosperity for all and, in particular, opens up new opportunities for small and medium-sized enterprises. We are committed to ensuring that employees are always significantly better off than recipients of social benefits. </s>"
Ihre Arbeit soll eine auskömmliche und sichere Rente gewährleisten.,Their work should guarantee an adequate and secure pension.,701,,True,False,False,False,False,False,True,True,False,59,9,We are committed to ensuring that employees are always significantly better off than recipients of social benefits. Their work should guarantee an adequate and secure pension.,5,Their work should guarantee an adequate and secure pension. </s> </s> We are committed to ensuring that employees are always significantly better off than recipients of social benefits. Their work should guarantee an adequate and secure pension. </s>
"Wir tragen Sorge dafür, dass wirklich Bedürftige in den Grundsicherungssystemen aufgefangen werden.",We ensure that those who are really in need are covered by the basic security systems.,504,,True,False,False,False,False,False,True,True,False,86,16,Their work should guarantee an adequate and secure pension. We ensure that those who are really in need are covered by the basic security systems.,6,We ensure that those who are really in need are covered by the basic security systems. </s> </s> Their work should guarantee an adequate and secure pension. We ensure that those who are really in need are covered by the basic security systems. </s>
Ein selbstgewähltes Leben auf Kosten der Allgemeinheit wird nicht gefördert.,A self-chosen life at the expense of the general public is not encouraged.,505,,True,False,False,False,False,False,True,True,False,74,13,We ensure that those who are really in need are covered by the basic security systems. A self-chosen life at the expense of the general public is not encouraged.,7,A self-chosen life at the expense of the general public is not encouraged. </s> </s> We ensure that those who are really in need are covered by the basic security systems. A self-chosen life at the expense of the general public is not encouraged. </s>
Mit unseren Maßnahmen bringen wir wieder Optimismus und Zuversicht in die Gesellschaft.,Our measures will bring optimism and confidence back into society.,305.1,,True,False,False,False,False,False,True,True,False,66,10,A self-chosen life at the expense of the general public is not encouraged. Our measures will bring optimism and confidence back into society.,8,Our measures will bring optimism and confidence back into society. </s> </s> A self-chosen life at the expense of the general public is not encouraged. Our measures will bring optimism and confidence back into society. </s>
"Viele Regelungen der EU schwächen Wirtschaft und Wettbewerb,",Many EU regulations weaken the economy and competition,110,,False,False,False,False,False,False,False,False,True,54,8,Our measures will bring optimism and confidence back into society. Many EU regulations weaken the economy and competition instead of strengthening them.,9,Many EU regulations weaken the economy and competition </s> </s> Our measures will bring optimism and confidence back into society. Many EU regulations weaken the economy and competition instead of strengthening them. </s>
statt sie zu stärken.,instead of strengthening them.,410,,True,False,False,False,False,False,True,True,False,30,4,Our measures will bring optimism and confidence back into society. Many EU regulations weaken the economy and competition instead of strengthening them.,9,instead of strengthening them. </s> </s> Our measures will bring optimism and confidence back into society. Many EU regulations weaken the economy and competition instead of strengthening them. </s>
Beispiele dafür sind der „Green Deal“ und der Einfluss auf Energiefragen.,"Examples of this are the ""Green Deal"" and the influence on energy issues.",110,,True,False,False,False,False,False,True,True,False,73,13,"Many EU regulations weaken the economy and competition instead of strengthening them. Examples of this are the ""Green Deal"" and the influence on energy issues.",10,"Examples of this are the ""Green Deal"" and the influence on energy issues. </s> </s> Many EU regulations weaken the economy and competition instead of strengthening them. Examples of this are the ""Green Deal"" and the influence on energy issues. </s>"
Freies Unternehmertum und Wirtschaftsstandort stärken,Strengthening free enterprise and the business location,H,,False,False,False,False,False,False,False,False,True,55,7,"Examples of this are the ""Green Deal"" and the influence on energy issues. Strengthening free enterprise and the business location We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products.",11,"Strengthening free enterprise and the business location </s> </s> Examples of this are the ""Green Deal"" and the influence on energy issues. Strengthening free enterprise and the business location We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products. </s>"
"Wir streben eine funktionierende Wirtschaft an, die aus eigener Kraft und Profitabilität in Forschung und Entwicklung investiert, um dem internationalen Markt innovative und wettbewerbsfähige Angebote zu machen.",We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products.,411,,True,False,False,False,False,False,True,True,False,197,29,"Examples of this are the ""Green Deal"" and the influence on energy issues. Strengthening free enterprise and the business location We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products.",11,"We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products. </s> </s> Examples of this are the ""Green Deal"" and the influence on energy issues. Strengthening free enterprise and the business location We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products. </s>"
Deutsche Unternehmen sollen an der Weltspitze der Exportunternehmen stehen,German companies should be among the world's leading exporters,410,,False,False,False,False,False,False,False,False,True,62,9,"Strengthening free enterprise and the business location We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products. German companies should be among the world's leading exporters and once again make ""Made in Germany"" a trademark for excellence and uniqueness.",12,"German companies should be among the world's leading exporters </s> </s> Strengthening free enterprise and the business location We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products. German companies should be among the world's leading exporters and once again make ""Made in Germany"" a trademark for excellence and uniqueness. </s>"
und „Made in Germany“ wieder zu einem Markenzeichen für Exzellenz und Einzigartigkeit machen.,"and once again make ""Made in Germany"" a trademark for excellence and uniqueness.",601.1,,True,False,False,False,False,False,True,True,False,80,13,"Strengthening free enterprise and the business location We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products. German companies should be among the world's leading exporters and once again make ""Made in Germany"" a trademark for excellence and uniqueness.",12,"and once again make ""Made in Germany"" a trademark for excellence and uniqueness. </s> </s> Strengthening free enterprise and the business location We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products. German companies should be among the world's leading exporters and once again make ""Made in Germany"" a trademark for excellence and uniqueness. </s>"
Dafür streben wir eine auf Leistung und Talentförderung ausgelegte Schul- und Berufsausbildung an.,"To this end, we are striving for school and vocational training that is geared towards performance and talent development.",411,,True,False,False,False,False,False,True,True,False,122,19,"German companies should be among the world's leading exporters and once again make ""Made in Germany"" a trademark for excellence and uniqueness. To this end, we are striving for school and vocational training that is geared towards performance and talent development.",13,"To this end, we are striving for school and vocational training that is geared towards performance and talent development. </s> </s> German companies should be among the world's leading exporters and once again make ""Made in Germany"" a trademark for excellence and uniqueness. To this end, we are striving for school and vocational training that is geared towards performance and talent development. </s>"
"Unsere Universitäten sollen in die Lage versetzt werden, erstklassige Talente aus Deutschland und aller Welt anzuziehen und unser Land in den Top-Branchen zu einem internationalen Innovationsführer zu machen.",Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors.,411,,True,False,False,False,False,False,True,True,False,186,31,"To this end, we are striving for school and vocational training that is geared towards performance and talent development. Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors.",14,"Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors. </s> </s> To this end, we are striving for school and vocational training that is geared towards performance and talent development. Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors. </s>"
"Dazu zählen wir neben den Traditionsbranchen wie Automobilbau, Maschinenbau, Chemie auch moderne Hochtechnologien wie Dual- Fluid-Nukleartechnik, Weltraumtechnologie, Nano-Technologie und Künstliche Intelligenz.","In addition to traditional sectors such as automotive engineering, mechanical engineering and chemicals, this also includes modern high technologies such as dual-fluid nuclear technology, space technology, nanotechnology and artificial intelligence.",411,,True,False,False,False,False,False,True,True,False,249,30,"Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors. In addition to traditional sectors such as automotive engineering, mechanical engineering and chemicals, this also includes modern high technologies such as dual-fluid nuclear technology, space technology, nanotechnology and artificial intelligence.",15,"In addition to traditional sectors such as automotive engineering, mechanical engineering and chemicals, this also includes modern high technologies such as dual-fluid nuclear technology, space technology, nanotechnology and artificial intelligence. </s> </s> Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors. In addition to traditional sectors such as automotive engineering, mechanical engineering and chemicals, this also includes modern high technologies such as dual-fluid nuclear technology, space technology, nanotechnology and artificial intelligence. </s>"
Deutschland ist als Wirtschaftsstandort unattraktiv geworden,Germany has become unattractive as a business location,H,,False,False,False,False,False,False,False,False,True,54,8,"In addition to traditional sectors such as automotive engineering, mechanical engineering and chemicals, this also includes modern high technologies such as dual-fluid nuclear technology, space technology, nanotechnology and artificial intelligence. Germany has become unattractive as a business location In previous decades, Germany stood out internationally for its economic and scientific excellence.",16,"Germany has become unattractive as a business location </s> </s> In addition to traditional sectors such as automotive engineering, mechanical engineering and chemicals, this also includes modern high technologies such as dual-fluid nuclear technology, space technology, nanotechnology and artificial intelligence. Germany has become unattractive as a business location In previous decades, Germany stood out internationally for its economic and scientific excellence. </s>"
Deutschland ragte in früheren Jahrzehnten international heraus durch wirtschaftliche und wissenschaftliche Exzellenz.,"In previous decades, Germany stood out internationally for its economic and scientific excellence.",601.1,,True,False,False,False,False,False,True,True,False,98,13,"In addition to traditional sectors such as automotive engineering, mechanical engineering and chemicals, this also includes modern high technologies such as dual-fluid nuclear technology, space technology, nanotechnology and artificial intelligence. Germany has become unattractive as a business location In previous decades, Germany stood out internationally for its economic and scientific excellence.",16,"In previous decades, Germany stood out internationally for its economic and scientific excellence. </s> </s> In addition to traditional sectors such as automotive engineering, mechanical engineering and chemicals, this also includes modern high technologies such as dual-fluid nuclear technology, space technology, nanotechnology and artificial intelligence. Germany has become unattractive as a business location In previous decades, Germany stood out internationally for its economic and scientific excellence. </s>"
Die gegenwärtige Situation ist hingegen von einem wirtschaftlichen,"The current situation, on the other hand, is characterized by an economic",410,,False,False,False,False,False,False,False,False,True,73,12,"Germany has become unattractive as a business location In previous decades, Germany stood out internationally for its economic and scientific excellence. The current situation, on the other hand, is characterized by an economic characterized by economic and scientific decline.",17,"The current situation, on the other hand, is characterized by an economic </s> </s> Germany has become unattractive as a business location In previous decades, Germany stood out internationally for its economic and scientific excellence. The current situation, on the other hand, is characterized by an economic characterized by economic and scientific decline. </s>"
und wissenschaftlichen Niedergang geprägt.,characterized by economic and scientific decline.,411,,True,False,False,False,False,False,True,True,False,49,6,"Germany has become unattractive as a business location In previous decades, Germany stood out internationally for its economic and scientific excellence. The current situation, on the other hand, is characterized by an economic characterized by economic and scientific decline.",17,"characterized by economic and scientific decline. </s> </s> Germany has become unattractive as a business location In previous decades, Germany stood out internationally for its economic and scientific excellence. The current situation, on the other hand, is characterized by an economic characterized by economic and scientific decline. </s>"
"Technologievorgaben, Auflagen und Verbote setzen den marktwirtschaftlichen Wettbewerb in Teilen außer Kraft; suboptimale technische Lösungen und Produkte sind die Folge.","Technology specifications, regulations and bans are partially overriding market-based competition; suboptimal technical solutions and products are the result.",401,,True,False,False,False,False,False,True,True,False,158,18,"The current situation, on the other hand, is characterized by an economic characterized by economic and scientific decline. Technology specifications, regulations and bans are partially overriding market-based competition; suboptimal technical solutions and products are the result.",18,"Technology specifications, regulations and bans are partially overriding market-based competition; suboptimal technical solutions and products are the result. </s> </s> The current situation, on the other hand, is characterized by an economic characterized by economic and scientific decline. Technology specifications, regulations and bans are partially overriding market-based competition; suboptimal technical solutions and products are the result. </s>"
"Viele davon sind ohne staatliche Subventionen nicht marktfähig, zum Beispiel alternative Energien und Elektroautos.","Many of these are not marketable without state subsidies, for example alternative energies and electric cars.",401,,True,False,False,False,False,False,True,True,False,109,16,"Technology specifications, regulations and bans are partially overriding market-based competition; suboptimal technical solutions and products are the result. Many of these are not marketable without state subsidies, for example alternative energies and electric cars.",19,"Many of these are not marketable without state subsidies, for example alternative energies and electric cars. </s> </s> Technology specifications, regulations and bans are partially overriding market-based competition; suboptimal technical solutions and products are the result. Many of these are not marketable without state subsidies, for example alternative energies and electric cars. </s>"
Viele Auflagen sind zudem mit den Ressourcen unseres Landes nicht zu vereinbaren.,"Furthermore, many requirements are incompatible with our country's resources.",401,,True,False,False,False,False,False,True,True,False,77,9,"Many of these are not marketable without state subsidies, for example alternative energies and electric cars. Furthermore, many requirements are incompatible with our country's resources.",20,"Furthermore, many requirements are incompatible with our country's resources. </s> </s> Many of these are not marketable without state subsidies, for example alternative energies and electric cars. Furthermore, many requirements are incompatible with our country's resources. </s>"
"Dies gilt für den eingeschränkten Zugang zu Rohstoffen wie seltene Erden für alternative Energien und Antriebe, zu preiswerter fossiler oder nuklearer Energie genauso wie für gut ausgebildete in- und ausländische Fachkräfte.","This applies to the restricted access to raw materials such as rare earths for alternative energies and drives, to cheap fossil or nuclear energy and to well-trained domestic and foreign specialists.",401,,True,False,False,False,False,False,True,True,False,199,31,"Furthermore, many requirements are incompatible with our country's resources. This applies to the restricted access to raw materials such as rare earths for alternative energies and drives, to cheap fossil or nuclear energy and to well-trained domestic and foreign specialists.",21,"This applies to the restricted access to raw materials such as rare earths for alternative energies and drives, to cheap fossil or nuclear energy and to well-trained domestic and foreign specialists. </s> </s> Furthermore, many requirements are incompatible with our country's resources. This applies to the restricted access to raw materials such as rare earths for alternative energies and drives, to cheap fossil or nuclear energy and to well-trained domestic and foreign specialists. </s>"
Unsere Schulbildung erfolgt nicht mehr nach dem Leistungsprinzip.,Our school education is no longer based on the principle of performance.,506,,True,False,False,False,False,False,True,True,False,72,12,"This applies to the restricted access to raw materials such as rare earths for alternative energies and drives, to cheap fossil or nuclear energy and to well-trained domestic and foreign specialists. Our school education is no longer based on the principle of performance.",22,"Our school education is no longer based on the principle of performance. </s> </s> This applies to the restricted access to raw materials such as rare earths for alternative energies and drives, to cheap fossil or nuclear energy and to well-trained domestic and foreign specialists. Our school education is no longer based on the principle of performance. </s>"
Auch mangelt es an Basiswissen in Mathematik und Deutsch am Ende der Grundschule.,There is also a lack of basic knowledge in mathematics and German at the end of elementary school.,506,,True,False,False,False,False,False,True,True,False,98,18,Our school education is no longer based on the principle of performance. There is also a lack of basic knowledge in mathematics and German at the end of elementary school.,23,There is also a lack of basic knowledge in mathematics and German at the end of elementary school. </s> </s> Our school education is no longer based on the principle of performance. There is also a lack of basic knowledge in mathematics and German at the end of elementary school. </s>
"Dies setzt sich im weiteren Schulverlauf fort, wodurch zahlreiche Schulabgänger nicht mehr ausbildungsfähig sind.","This continues in the further course of schooling, which means that many school leavers are no longer able to train.",411,,True,False,False,False,False,False,True,True,False,116,20,"There is also a lack of basic knowledge in mathematics and German at the end of elementary school. This continues in the further course of schooling, which means that many school leavers are no longer able to train.",24,"This continues in the further course of schooling, which means that many school leavers are no longer able to train. </s> </s> There is also a lack of basic knowledge in mathematics and German at the end of elementary school. This continues in the further course of schooling, which means that many school leavers are no longer able to train. </s>"
"Während fast alle anderen Länder ihre Schulleistungen verbessern konnten, ist das einst führende Deutschland im weltweiten Vergleich auf ein mittleres Niveau zurückgefallen.","While almost all other countries have been able to improve their school performance, Germany, once the world leader, has fallen back to a mediocre level.",506,,True,False,False,False,False,False,True,True,False,153,25,"This continues in the further course of schooling, which means that many school leavers are no longer able to train. While almost all other countries have been able to improve their school performance, Germany, once the world leader, has fallen back to a mediocre level.",25,"While almost all other countries have been able to improve their school performance, Germany, once the world leader, has fallen back to a mediocre level. </s> </s> This continues in the further course of schooling, which means that many school leavers are no longer able to train. While almost all other countries have been able to improve their school performance, Germany, once the world leader, has fallen back to a mediocre level. </s>"
Nachfolgende Generationen sind so nicht mehr international wettbewerbsfähig.,"As a result, future generations are no longer internationally competitive.",506,,True,False,False,False,False,False,True,True,False,74,10,"While almost all other countries have been able to improve their school performance, Germany, once the world leader, has fallen back to a mediocre level. As a result, future generations are no longer internationally competitive.",26,"As a result, future generations are no longer internationally competitive. </s> </s> While almost all other countries have been able to improve their school performance, Germany, once the world leader, has fallen back to a mediocre level. As a result, future generations are no longer internationally competitive. </s>"
