text,text_en,cmp_code,eu_code,ends_with_period,ends_with_question,ends_with_exclamation,ends_with_colon,ends_with_semicolon,ends_with_comma,is_sentence_complete,is_clause_complete,has_no_punctuation,text_length,word_count,context,thought_id,input_text
Unser Land verdient mehr!,Our country deserves more!,,,False,False,True,False,False,False,True,True,False,26,4,Our country deserves more!,0,Our country deserves more! </s> </s> Our country deserves more! </s>
Das Wahlprogramm des BSW zur Bundestagswahl 2025,The BSW election program for the 2025 federal elections,,,False,False,False,False,False,False,False,False,True,55,9,"Our country deserves more! The BSW election program for the 2025 federal elections Preamble Germany is no longer what it was just a few decades ago: a modern industrialized country that was valued abroad for its medium-sized global market leaders and its highly trained skilled workers, its good public infrastructure and healthcare, its efficient administrations, its low crime rate and its high degree of social cohesion.",1,"The BSW election program for the 2025 federal elections </s> </s> Our country deserves more! The BSW election program for the 2025 federal elections Preamble Germany is no longer what it was just a few decades ago: a modern industrialized country that was valued abroad for its medium-sized global market leaders and its highly trained skilled workers, its good public infrastructure and healthcare, its efficient administrations, its low crime rate and its high degree of social cohesion. </s>"
Präambel,Preamble,H,,False,False,False,False,False,False,False,False,True,8,1,"Our country deserves more! The BSW election program for the 2025 federal elections Preamble Germany is no longer what it was just a few decades ago: a modern industrialized country that was valued abroad for its medium-sized global market leaders and its highly trained skilled workers, its good public infrastructure and healthcare, its efficient administrations, its low crime rate and its high degree of social cohesion.",1,"Preamble </s> </s> Our country deserves more! The BSW election program for the 2025 federal elections Preamble Germany is no longer what it was just a few decades ago: a modern industrialized country that was valued abroad for its medium-sized global market leaders and its highly trained skilled workers, its good public infrastructure and healthcare, its efficient administrations, its low crime rate and its high degree of social cohesion. </s>"
"Deutschland ist nicht mehr, was es noch vor wenigen Jahrzehnten war: ein moderner Industriestaat, der vom Ausland geschätzt wurde für seine mittelständischen Weltmarktführer und seine top ausgebildeten Fachkräfte, seine gute öffentliche Infrastruktur und Gesundheitsversorgung, seine effizienten Verwaltungen, die niedrige Kriminalität und den hohen Grad an sozialem Zusammenhalt.","Germany is no longer what it was just a few decades ago: a modern industrialized country that was valued abroad for its medium-sized global market leaders and its highly trained skilled workers, its good public infrastructure and healthcare, its efficient administrations, its low crime rate and its high degree of social cohesion.",601.1,,True,False,False,False,False,False,True,True,False,331,52,"Our country deserves more! The BSW election program for the 2025 federal elections Preamble Germany is no longer what it was just a few decades ago: a modern industrialized country that was valued abroad for its medium-sized global market leaders and its highly trained skilled workers, its good public infrastructure and healthcare, its efficient administrations, its low crime rate and its high degree of social cohesion.",1,"Germany is no longer what it was just a few decades ago: a modern industrialized country that was valued abroad for its medium-sized global market leaders and its highly trained skilled workers, its good public infrastructure and healthcare, its efficient administrations, its low crime rate and its high degree of social cohesion. </s> </s> Our country deserves more! The BSW election program for the 2025 federal elections Preamble Germany is no longer what it was just a few decades ago: a modern industrialized country that was valued abroad for its medium-sized global market leaders and its highly trained skilled workers, its good public infrastructure and healthcare, its efficient administrations, its low crime rate and its high degree of social cohesion. </s>"
Viele Menschen in Deutschland leben heute mit Abstiegsängsten und Existenzsorgen.,Many people in Germany today live with fears of social decline and existential worries.,503,,True,False,False,False,False,False,True,True,False,87,14,"The BSW election program for the 2025 federal elections Preamble Germany is no longer what it was just a few decades ago: a modern industrialized country that was valued abroad for its medium-sized global market leaders and its highly trained skilled workers, its good public infrastructure and healthcare, its efficient administrations, its low crime rate and its high degree of social cohesion. Many people in Germany today live with fears of social decline and existential worries.",2,"Many people in Germany today live with fears of social decline and existential worries. </s> </s> The BSW election program for the 2025 federal elections Preamble Germany is no longer what it was just a few decades ago: a modern industrialized country that was valued abroad for its medium-sized global market leaders and its highly trained skilled workers, its good public infrastructure and healthcare, its efficient administrations, its low crime rate and its high degree of social cohesion. Many people in Germany today live with fears of social decline and existential worries. </s>"
"Sie beunruhigt die Talfahrt unserer Industrie,","They are worried about the downturn in our industry,",410,,False,False,False,False,False,True,False,False,False,52,9,"Many people in Germany today live with fears of social decline and existential worries. They are worried about the downturn in our industry, the shortage of teachers, doctors and nurses, the lack of security in old age, the loss of control over migration and the growing threat of war.",3,"They are worried about the downturn in our industry, </s> </s> Many people in Germany today live with fears of social decline and existential worries. They are worried about the downturn in our industry, the shortage of teachers, doctors and nurses, the lack of security in old age, the loss of control over migration and the growing threat of war. </s>"
"der Mangel an Lehrern,","the shortage of teachers,",506,,False,False,False,False,False,True,False,False,False,25,4,"Many people in Germany today live with fears of social decline and existential worries. They are worried about the downturn in our industry, the shortage of teachers, doctors and nurses, the lack of security in old age, the loss of control over migration and the growing threat of war.",3,"the shortage of teachers, </s> </s> Many people in Germany today live with fears of social decline and existential worries. They are worried about the downturn in our industry, the shortage of teachers, doctors and nurses, the lack of security in old age, the loss of control over migration and the growing threat of war. </s>"
"Ärzten und Pflegekräften,","doctors and nurses,",504,,False,False,False,False,False,True,False,False,False,19,3,"Many people in Germany today live with fears of social decline and existential worries. They are worried about the downturn in our industry, the shortage of teachers, doctors and nurses, the lack of security in old age, the loss of control over migration and the growing threat of war.",3,"doctors and nurses, </s> </s> Many people in Germany today live with fears of social decline and existential worries. They are worried about the downturn in our industry, the shortage of teachers, doctors and nurses, the lack of security in old age, the loss of control over migration and the growing threat of war. </s>"
"die fehlende Absicherung im Alter,","the lack of security in old age,",504,,False,False,False,False,False,True,False,False,False,32,7,"Many people in Germany today live with fears of social decline and existential worries. They are worried about the downturn in our industry, the shortage of teachers, doctors and nurses, the lack of security in old age, the loss of control over migration and the growing threat of war.",3,"the lack of security in old age, </s> </s> Many people in Germany today live with fears of social decline and existential worries. They are worried about the downturn in our industry, the shortage of teachers, doctors and nurses, the lack of security in old age, the loss of control over migration and the growing threat of war. </s>"
der Kontrollverlust bei der Migration,the loss of control over migration,601.2,,False,False,False,False,False,False,False,False,True,34,6,"Many people in Germany today live with fears of social decline and existential worries. They are worried about the downturn in our industry, the shortage of teachers, doctors and nurses, the lack of security in old age, the loss of control over migration and the growing threat of war.",3,"the loss of control over migration </s> </s> Many people in Germany today live with fears of social decline and existential worries. They are worried about the downturn in our industry, the shortage of teachers, doctors and nurses, the lack of security in old age, the loss of control over migration and the growing threat of war. </s>"
