text,text_en,cmp_code,eu_code,ends_with_period,ends_with_question,ends_with_exclamation,ends_with_colon,ends_with_semicolon,ends_with_comma,is_sentence_complete,is_clause_complete,has_no_punctuation,text_length,word_count,context,thought_id,input_text
Politikwechsel für Deutschland,Policy change for Germany,,,False,False,False,False,False,False,False,False,True,25,4,Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II.,0,Policy change for Germany </s> </s> Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. </s>
Wahlprogramm von CDU und CSU,Election program of the CDU and CSU,,,False,False,False,False,False,False,False,False,True,35,7,Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II.,0,Election program of the CDU and CSU </s> </s> Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. </s>
Inhalt,Contents,,,False,False,False,False,False,False,False,False,True,8,1,Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II.,0,Contents </s> </s> Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. </s>
- KURZFASSUNG -,- SHORT VERSION -,,,False,False,False,False,False,False,False,False,True,17,4,Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II.,0,- SHORT VERSION - </s> </s> Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. </s>
Politikwechsel für Deutschland................................................................. 1,Policy change for Germany................................................................. 1,,,False,False,False,False,False,False,False,False,True,92,5,Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II.,0,Policy change for Germany................................................................. 1 </s> </s> Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. </s>
- LANGFASSUNG -,- LONG VERSION -,,,False,False,False,False,False,False,False,False,True,16,4,Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II.,0,- LONG VERSION - </s> </s> Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. </s>
"I. Für ein Deutschland, auf das wir wieder stolz sein können ......... 10",I. For a Germany we can be proud of again ......... 10,,,False,False,False,False,False,False,False,False,True,54,12,Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II.,0,I. For a Germany we can be proud of again ......... 10 </s> </s> Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. </s>
II.,II.,,,True,False,False,False,False,False,True,True,False,3,1,Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II.,0,II. </s> </s> Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. </s>
"Unser Plan für ein Land, das wieder Wohlstand für alle schafft...11",Our plan for a country that once again creates prosperity for all...11,,,False,False,False,False,False,False,False,False,True,70,12,Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. Our plan for a country that once again creates prosperity for all...11 Yes to an agenda for the hard-working................................................ 11 Yes to freedom for the economy ................................................,1,Our plan for a country that once again creates prosperity for all...11 </s> </s> Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. Our plan for a country that once again creates prosperity for all...11 Yes to an agenda for the hard-working................................................ 11 Yes to freedom for the economy ................................................ </s>
Ja zu einer Agenda für die Fleißigen................................................ 11,Yes to an agenda for the hard-working................................................ 11,,,False,False,False,False,False,False,False,False,True,88,8,Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. Our plan for a country that once again creates prosperity for all...11 Yes to an agenda for the hard-working................................................ 11 Yes to freedom for the economy ................................................,1,Yes to an agenda for the hard-working................................................ 11 </s> </s> Policy change for Germany Election program of the CDU and CSU Contents - SHORT VERSION - Policy change for Germany................................................................. 1 - LONG VERSION - I. For a Germany we can be proud of again ......... 10 II. Our plan for a country that once again creates prosperity for all...11 Yes to an agenda for the hard-working................................................ 11 Yes to freedom for the economy ................................................ </s>
