text,text_en,cmp_code,eu_code,ends_with_period,ends_with_question,ends_with_exclamation,ends_with_colon,ends_with_semicolon,ends_with_comma,is_sentence_complete,is_clause_complete,has_no_punctuation,text_length,word_count,context,thought_id,input_text
Alles lässt sich ändern Das Wahlprogramm der FDP zur Bundestagswahl 2025,Everything can be changed The FDP's election program for the 2025 federal elections,,,False,False,False,False,False,False,False,False,True,83,13,Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8,0,Everything can be changed The FDP's election program for the 2025 federal elections </s> </s> Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 </s>
Das Programm der Freien Demokraten zur Bundestagswahl 2025,The Free Democrats' program for the 2025 federal election,,,False,False,False,False,False,False,False,False,True,57,9,Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8,0,The Free Democrats' program for the 2025 federal election </s> </s> Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 </s>
Inhalt,Contents,H,,False,False,False,False,False,False,False,False,True,8,1,Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8,0,Contents </s> </s> Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 </s>
I. Präambel: Alles lässt sich ändern ....................................................................................................... 4,I. Preamble: Everything can be changed ....................................................................................................... 4,,,False,False,False,False,False,False,False,False,True,144,8,Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8,0,I. Preamble: Everything can be changed ....................................................................................................... 4 </s> </s> Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 </s>
II. Weltbeste Bildung für selbstbewusste Bürger .................................................................................. 6,II. World-class education for self-confident citizens .................................................................................. 6,,,False,False,False,False,False,False,False,False,True,138,8,Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8,0,II. World-class education for self-confident citizens .................................................................................. 6 </s> </s> Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 </s>
a. Große Chancen für die Kleinsten: Frühkindliche Bildung stärken ................................................... 6,a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6,,,False,False,False,False,False,False,False,False,True,134,12,Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8,0,a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 </s> </s> Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 </s>
b. Moderne und selbstständige Schulen – bessere Bildungschancen für alle ..................................... 7,b. Modern and independent schools - better educational opportunities for all ..................................... 7,,,False,False,False,False,False,False,False,False,True,116,13,Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8,0,b. Modern and independent schools - better educational opportunities for all ..................................... 7 </s> </s> Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 </s>
c. Berufliche Bildung und lebenslanges Lernen stärken ...................................................................... 8,c. Strengthening vocational education and lifelong learning ...................................................................... 8,,,False,False,False,False,False,False,False,False,True,132,9,Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8,0,c. Strengthening vocational education and lifelong learning ...................................................................... 8 </s> </s> Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 </s>
"d. Exzellente Rahmenbedingungen für Studium, Forschung und Innovationen ................................. 9","d. Excellent framework conditions for study, research and innovation ................................. 9",,,False,False,False,False,False,False,False,False,True,104,11,"Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 d. Excellent framework conditions for study, research and innovation ................................. 9 e. Diverse art and culture .......................................................................................................... 10 III. Creating prosperity and career opportunities for the future .......................................................... 11 a. End bureaucracy burnout ........................................................................................................ 11 b. A tax system that rewards performance and investment ............................................................... 13 c. Affordable energy for citizens and businesses ................................................................................. 16 d. A modern labor law for a modern working world ........................................................... 17 e. For social security systems that make people want to work ..................................................... 18",1,"d. Excellent framework conditions for study, research and innovation ................................. 9 </s> </s> Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 d. Excellent framework conditions for study, research and innovation ................................. 9 e. Diverse art and culture ................................................ </s>"
e. Vielfältige Kunst und Kultur .......................................................................................................... 10,e. Diverse art and culture .......................................................................................................... 10,,,False,False,False,False,False,False,False,False,True,136,7,"Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 d. Excellent framework conditions for study, research and innovation ................................. 9 e. Diverse art and culture .......................................................................................................... 10 III. Creating prosperity and career opportunities for the future .......................................................... 11 a. End bureaucracy burnout ........................................................................................................ 11 b. A tax system that rewards performance and investment ............................................................... 13 c. Affordable energy for citizens and businesses ................................................................................. 16 d. A modern labor law for a modern working world ........................................................... 17 e. For social security systems that make people want to work ..................................................... 18",1,"e. Diverse art and culture .......................................................................................................... 10 </s> </s> Everything can be changed The FDP's election program for the 2025 federal elections The Free Democrats' program for the 2025 federal election Contents I. Preamble: Everything can be changed ....................................................................................................... 4 II. World-class education for self-confident citizens .................................................................................. 6 a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6 b. Modern and independent schools - better educational opportunities for all ..................................... 7 c. Strengthening vocational education and lifelong learning ...................................................................... 8 d. Excellent framework conditions for study, research and innovation ................................. 9 e. Diverse art and culture ................................................ </s>"
