text,text_en,cmp_code,eu_code,ends_with_period,ends_with_question,ends_with_exclamation,ends_with_colon,ends_with_semicolon,ends_with_comma,is_sentence_complete,is_clause_complete,has_no_punctuation,text_length,word_count,context,thought_id,input_text
ZUSAMMEN WACHSEN REGIERUNGSPROGRAMM 2025,GROWING TOGETHER GOVERNMENT PROGRAM 2025,,,False,False,False,False,False,False,False,False,True,40,5,GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20,0,GROWING TOGETHER GOVERNMENT PROGRAM 2025 </s> </s> GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 </s>
INHALTSVERZEICHNIS,TABLE OF CONTENTS,,,False,False,False,False,False,False,False,False,True,17,3,GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20,0,TABLE OF CONTENTS </s> </s> GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 </s>
Präambel,Preamble,,,False,False,False,False,False,False,False,False,True,8,1,GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20,0,Preamble </s> </s> GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 </s>
KAPITEL 1,CHAPTER 1,,,False,False,False,False,False,False,False,False,True,9,2,GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20,0,CHAPTER 1 </s> </s> GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 </s>
In die Zukunft wachsen - ökologisch und ökonomisch 14,Growing into the future - ecologically and economically 14,,,False,False,False,False,False,False,False,False,True,58,9,GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20,0,Growing into the future - ecologically and economically 14 </s> </s> GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 </s>
Eine starke Wirtschaft für sichere Jobs17,A strong economy for secure jobs17,,,False,False,False,False,False,False,False,False,True,34,6,GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20,0,A strong economy for secure jobs17 </s> </s> GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 </s>
Für einen wettbewerbsfähigen Standort17,For a competitive location17,,,False,False,False,False,False,False,False,False,True,28,4,GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20,0,For a competitive location17 </s> </s> GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 </s>
Für mehr Arbeitskräfte und die gleichberechtigte Erwerbstätigkeit von Frauen 19 Für eine starke europäische Wirtschaft20,For more workers and equal employment opportunities for women 19 For a strong European economy20,,,False,False,False,False,False,False,False,False,True,96,15,GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20,0,For more workers and equal employment opportunities for women 19 For a strong European economy20 </s> </s> GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 </s>
Für funktionierende und nachhaltige Finanzmärkte21,For functioning and sustainable financial markets21,,,False,False,False,False,False,False,False,False,True,51,6,GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 For functioning and sustainable financial markets21 For more innovative strength22 For the climate-neutral modernization of industry24 For the strengthening of SMEs and skilled trades26 For economic security and sustainable foreign trade28 For raw material security and a circular economy30 For strong consumer protection31 A modern and digital country32,1,For functioning and sustainable financial markets21 </s> </s> GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 For functioning and sustainable financial markets21 For more innovative strength22 For the climate-neutral modernization of industry24 For the strengthening of SMEs and skilled trades26 For economic security and sustainable foreign trade28 For raw material security and a circular economy30 For strong consumer protection31 A modern and digital country32 </s>
Für mehr Innovationskraft22,For more innovative strength22,,,False,False,False,False,False,False,False,False,True,30,4,GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 For functioning and sustainable financial markets21 For more innovative strength22 For the climate-neutral modernization of industry24 For the strengthening of SMEs and skilled trades26 For economic security and sustainable foreign trade28 For raw material security and a circular economy30 For strong consumer protection31 A modern and digital country32,1,For more innovative strength22 </s> </s> GROWING TOGETHER GOVERNMENT PROGRAM 2025 TABLE OF CONTENTS Preamble CHAPTER 1 Growing into the future - ecologically and economically 14 A strong economy for secure jobs17 For a competitive location17 For more workers and equal employment opportunities for women 19 For a strong European economy20 For functioning and sustainable financial markets21 For more innovative strength22 For the climate-neutral modernization of industry24 For the strengthening of SMEs and skilled trades26 For economic security and sustainable foreign trade28 For raw material security and a circular economy30 For strong consumer protection31 A modern and digital country32 </s>
