text,text_en,cmp_code,eu_code,ends_with_period,ends_with_question,ends_with_exclamation,ends_with_colon,ends_with_semicolon,ends_with_comma,is_sentence_complete,is_clause_complete,has_no_punctuation,text_length,word_count,context,thought_id,input_text
Alle wollen regieren.,Everyone wants to govern.,H,,True,False,False,False,False,False,True,True,False,25,4,Everyone wants to govern.,0,Everyone wants to govern. </s> </s> Everyone wants to govern. </s>
Wir wollen verändern.,We want to change.,H,,True,False,False,False,False,False,True,True,False,18,4,Everyone wants to govern. We want to change.,1,We want to change. </s> </s> Everyone wants to govern. We want to change. </s>
Reichtum teilen.,Share the wealth.,H,,True,False,False,False,False,False,True,True,False,17,3,We want to change. Share the wealth.,2,Share the wealth. </s> </s> We want to change. Share the wealth. </s>
Preise senken.,Lower prices.,H,,True,False,False,False,False,False,True,True,False,13,2,Share the wealth. Lower prices.,3,Lower prices. </s> </s> Share the wealth. Lower prices. </s>
Füreinander.,For each other.,H,,True,False,False,False,False,False,True,True,False,15,3,Lower prices. For each other.,4,For each other. </s> </s> Lower prices. For each other. </s>
"Liebe Wähler*innen,","Dear voters,",,,False,False,False,False,False,True,False,False,False,12,2,"For each other. Dear voters, We are different, but most of us want the same thing: a society in which people listen to and support each other, in which everyone is seen and heard.",5,"Dear voters, </s> </s> For each other. Dear voters, We are different, but most of us want the same thing: a society in which people listen to and support each other, in which everyone is seen and heard. </s>"
"wir sind verschieden, aber die meisten von uns wollen das Gleiche: eine Gesellschaft, in der man sich gegenseitig zuhört und unterstützt, in der alle gesehen und gehört werden.","We are different, but most of us want the same thing: a society in which people listen to and support each other, in which everyone is seen and heard.",,,True,False,False,False,False,False,True,True,False,150,29,"For each other. Dear voters, We are different, but most of us want the same thing: a society in which people listen to and support each other, in which everyone is seen and heard.",5,"We are different, but most of us want the same thing: a society in which people listen to and support each other, in which everyone is seen and heard. </s> </s> For each other. Dear voters, We are different, but most of us want the same thing: a society in which people listen to and support each other, in which everyone is seen and heard. </s>"
"Ein planbares Leben mit einer sicheren Zukunft, die Platz lässt für eigene Ziele und Entscheidungen.",A predictable life with a secure future that leaves room for personal goals and decisions.,,,True,False,False,False,False,False,True,True,False,90,15,"Dear voters, We are different, but most of us want the same thing: a society in which people listen to and support each other, in which everyone is seen and heard. A predictable life with a secure future that leaves room for personal goals and decisions.",6,"A predictable life with a secure future that leaves room for personal goals and decisions. </s> </s> Dear voters, We are different, but most of us want the same thing: a society in which people listen to and support each other, in which everyone is seen and heard. A predictable life with a secure future that leaves room for personal goals and decisions. </s>"
"Eine Politik, die Verantwortung übernimmt, an der Seite der Menschen steht und sich um ihre Probleme kümmert.","A policy that takes responsibility, stands by people and takes care of their problems.",,,True,False,False,False,False,False,True,True,False,86,14,"A predictable life with a secure future that leaves room for personal goals and decisions. A policy that takes responsibility, stands by people and takes care of their problems.",7,"A policy that takes responsibility, stands by people and takes care of their problems. </s> </s> A predictable life with a secure future that leaves room for personal goals and decisions. A policy that takes responsibility, stands by people and takes care of their problems. </s>"
"Wir, Die Linke, kämpfen dafür, wir sind überzeugt: Es ist möglich.","We, Die Linke, are fighting for this, we are convinced: it is possible.",,,True,False,False,False,False,False,True,True,False,71,13,"A policy that takes responsibility, stands by people and takes care of their problems. We, Die Linke, are fighting for this, we are convinced: it is possible.",8,"We, Die Linke, are fighting for this, we are convinced: it is possible. </s> </s> A policy that takes responsibility, stands by people and takes care of their problems. We, Die Linke, are fighting for this, we are convinced: it is possible. </s>"
