text,text_en,cmp_code,eu_code,ends_with_period,ends_with_question,ends_with_exclamation,ends_with_colon,ends_with_semicolon,ends_with_comma,is_sentence_complete,is_clause_complete,has_no_punctuation,text_length,word_count,context,thought_id,input_text
MEHR FÜR DICH.,MORE FOR YOU.,,,True,False,False,False,False,False,True,True,False,13,3,MORE FOR YOU.,0,MORE FOR YOU. </s> </s> MORE FOR YOU. </s>
BESSER FÜR DEUTSCHLAND.,BETTER FOR GERMANY.,,,True,False,False,False,False,False,True,True,False,19,3,MORE FOR YOU. BETTER FOR GERMANY.,1,BETTER FOR GERMANY. </s> </s> MORE FOR YOU. BETTER FOR GERMANY. </s>
REGIERUNGSPROGRAMM DER SPD FÜR DIE BUNDESTAGSWAHL 2025,SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION,,,False,False,False,False,False,False,False,False,True,52,8,BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15,2,SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION </s> </s> BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15 </s>
Inhalt,Contents,,,False,False,False,False,False,False,False,False,True,8,1,BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15,2,Contents </s> </s> BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15 </s>
Worauf es jetzt ankommt .................................................................................................................. 4,What matters now .................................................................................................................. 4,,,False,False,False,False,False,False,False,False,True,133,5,BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15,2,What matters now .................................................................................................................. 4 </s> </s> BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15 </s>
Ein neuer Aufschwung für Deutschland.............................................................................................. 6,A new upswing for Germany.............................................................................................. 6,,,False,False,False,False,False,False,False,False,True,121,6,BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15,2,A new upswing for Germany.............................................................................................. 6 </s> </s> BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15 </s>
1. Wir kämpfen für neues Wachstum und sichere Arbeitsplätze. ..................................................................6,1 We are fighting for new growth and secure jobs. ..................................................................6,,,False,False,False,False,False,False,False,False,True,117,11,BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15,2,1 We are fighting for new growth and secure jobs. ..................................................................6 </s> </s> BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15 </s>
2. Wir kämpfen für Made in Germany 2.0. .........................................................................................................10,2 We are fighting for Made in Germany 2.0. .........................................................................................................10,,,False,False,False,False,False,False,False,False,True,150,10,BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15,2,2 We are fighting for Made in Germany 2.0. .........................................................................................................10 </s> </s> BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15 </s>
3. Wir kämpfen für einen starken Arbeitsmarkt und gute Arbeitsbedingungen......................................12,3 We are fighting for a strong labor market and good working conditions......................................12,,,False,False,False,False,False,False,False,False,True,111,13,BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15,2,3 We are fighting for a strong labor market and good working conditions......................................12 </s> </s> BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15 </s>
"4. Wir kämpfen dafür, dass gute Bildung für alle zuverlässig gelingt..........................................................15",4. we are fighting for good education for all..........................................................15,,,False,False,False,False,False,False,False,False,True,105,9,BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15,2,4. we are fighting for good education for all..........................................................15 </s> </s> BETTER FOR GERMANY. SPD GOVERNMENT PROGRAM FOR THE 2025 FEDERAL ELECTION Contents What matters now .................................................................................................................. 4 A new upswing for Germany.............................................................................................. 6 1 We are fighting for new growth and secure jobs. ..................................................................6 2 We are fighting for Made in Germany 2.0. .........................................................................................................10 3 We are fighting for a strong labor market and good working conditions......................................12 4. we are fighting for good education for all..........................................................15 </s>
