text,text_en,cmp_code,eu_code,ends_with_period,ends_with_question,ends_with_exclamation,ends_with_colon,ends_with_semicolon,ends_with_comma,is_sentence_complete,is_clause_complete,has_no_punctuation,text_length,word_count,context,thought_id,input_text
Wahlprogramm zur Bundestagswahl am 23. Februar 2025,"Election platform for the federal election on February 23, 2025",,,False,False,False,False,False,False,False,False,True,63,10,"Election platform for the federal election on February 23, 2025 Your voice for the North.",0,"Election platform for the federal election on February 23, 2025 </s> </s> Election platform for the federal election on February 23, 2025 Your voice for the North. </s>"
Deine Stimme für den Norden.,Your voice for the North.,,,True,False,False,False,False,False,True,True,False,25,5,"Election platform for the federal election on February 23, 2025 Your voice for the North.",0,"Your voice for the North. </s> </s> Election platform for the federal election on February 23, 2025 Your voice for the North. </s>"
Beschlossen auf der SSW-Hauptausschuss-Sitzung am 03.12.2024 und dem SSW-Landesparteitag am 11.01.2025 in Schleswig,Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig,,,False,False,False,False,False,False,False,False,True,117,19,"Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations",1,"Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig </s> </s> Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations </s>"
Inhalt Einleitung:,Contents Introduction:,,,False,False,False,True,False,False,False,True,False,22,2,"Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations",1,"Contents Introduction: </s> </s> Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations </s>"
"- Wer SSW wählt, wählt Schleswig-Holstein","- Whoever votes SSW, votes for Schleswig-Holstein",,,False,False,False,False,False,False,False,False,True,49,7,"Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations",1,"- Whoever votes SSW, votes for Schleswig-Holstein </s> </s> Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations </s>"
- Das Land auf Kurs bringen: Regionale Antworten auf die Krisen unserer Zeit,- Putting the state on course: Regional answers to the crises of our time,,,False,False,False,False,False,False,False,False,True,73,14,"Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations",1,"- Putting the state on course: Regional answers to the crises of our time </s> </s> Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations </s>"
Das wollen wir im Bundestag erreichen:,This is what we want to achieve in the Bundestag:,,,False,False,False,True,False,False,False,True,False,49,10,"Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations",1,"This is what we want to achieve in the Bundestag: </s> </s> Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations </s>"
- Gute Minderheitenpolitik ist Friedenspolitik,- Good minority policy is peace policy,,,False,False,False,False,False,False,False,False,True,38,7,"Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations",1,"- Good minority policy is peace policy </s> </s> Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations </s>"
"- Kein Sozialabbau, sondern Daseinsvorsorge für alle","- No social cuts, but services of general interest for all",,,False,False,False,False,False,False,False,False,True,58,11,"Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations",1,"- No social cuts, but services of general interest for all </s> </s> Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations </s>"
- Klimaschutz muss sozial und gerecht für zukünftige Generationen sein,- Climate protection must be social and fair for future generations,,,False,False,False,False,False,False,False,False,True,67,11,"Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations",1,"- Climate protection must be social and fair for future generations </s> </s> Election platform for the federal election on February 23, 2025 Your voice for the North. Adopted at the SSW main committee meeting on 03.12.2024 and the SSW state party conference on 11.01.2025 in Schleswig Contents Introduction: - Whoever votes SSW, votes for Schleswig-Holstein - Putting the state on course: Regional answers to the crises of our time This is what we want to achieve in the Bundestag: - Good minority policy is peace policy - No social cuts, but services of general interest for all - Climate protection must be social and fair for future generations </s>"
