text,text_en,cmp_code,eu_code,annotations
ZUSAMMEN WACHSEN REGIERUNGSPROGRAMM 2025,GROWING TOGETHER GOVERNMENT PROGRAM 2025,,,Error_not_all_lines_annotated
INHALTSVERZEICHNIS,TABLE OF CONTENTS,,,Error_not_all_lines_annotated
Präambel,Preamble,,,Error_not_all_lines_annotated
KAPITEL 1,CHAPTER 1,,,Error_not_all_lines_annotated
In die Zukunft wachsen - ökologisch und ökonomisch 14,Growing into the future - ecologically and economically 14,,,Error_not_all_lines_annotated
Eine starke Wirtschaft für sichere Jobs17,A strong economy for secure jobs17,,,Error_not_all_lines_annotated
Für einen wettbewerbsfähigen Standort17,For a competitive location17,,,Error_not_all_lines_annotated
Für mehr Arbeitskräfte und die gleichberechtigte Erwerbstätigkeit von Frauen 19 Für eine starke europäische Wirtschaft20,For more workers and equal employment opportunities for women 19 For a strong European economy20,,,Error_not_all_lines_annotated
Für funktionierende und nachhaltige Finanzmärkte21,For functioning and sustainable financial markets21,,,Error_not_all_lines_annotated
Für mehr Innovationskraft22,For more innovative strength22,,,Error_not_all_lines_annotated
Für die klimaneutrale Modernisierung der Industrie24,For the climate-neutral modernization of industry24,,,Error_not_all_lines_annotated
Für die Stärkung von Mittelstand und Handwerk26,For the strengthening of SMEs and skilled trades26,,,Error_not_all_lines_annotated
Für Wirtschaftssicherheit und zukunftsfähigen Außenhandel28,For economic security and sustainable foreign trade28,,,Error_not_all_lines_annotated
Für Rohstoffsicherheit und Kreislaufwirtschaft30,For raw material security and a circular economy30,,,Error_not_all_lines_annotated
Für einen starken Verbraucherschutz31,For strong consumer protection31,,,Error_not_all_lines_annotated
Ein modernes und digitales Land32,A modern and digital country32,,,Error_not_all_lines_annotated
"Für einen Staat, der für die Menschen funktioniert32",For a state that works for the people32,,,Error_not_all_lines_annotated
Für eine serviceorientierte Verwaltung33,For a service-oriented administration33,,,Error_not_all_lines_annotated
Für eine schnelle und umfassende Digitalisierung34,For rapid and comprehensive digitalization34,,,Error_not_all_lines_annotated
Für einen Deutschlandfonds und eine Reform der Schuldenbremse36,For a Germany Fund and a reform of the debt brake36,,,Error_not_all_lines_annotated
"Ein Klima, in dem wir gut leben können37",A climate in which we can live well37,,,Error_not_all_lines_annotated
Für ein stabiles und sicheres Klima37,For a stable and safe climate37,,,Error_not_all_lines_annotated
Für sozial gerechten Klimaschutz39,For socially just climate protection39,,,Error_not_all_lines_annotated
"Für günstige, verlässliche und klimaneutrale Energie41","For affordable, reliable and climate-neutral energy41",,,Error_not_all_lines_annotated
Für verlässliche und bezahlbare Wärme44,For reliable and affordable heat44,,,Error_not_all_lines_annotated
Für vorsorgende Anpassungen an ein verändertes Klima45,For precautionary adaptation to a changing climate45,,,Error_not_all_lines_annotated
Eine mobile Gesellschaft - Stadt und Land zusammen46,A mobile society - city and countryside together46,,,Error_not_all_lines_annotated
"Für nachhaltiges, sicheres und zügiges Fortkommen46","For sustainable, safe and rapid progress46",,,Error_not_all_lines_annotated
Für eine verlässliche und bezahlbare Bahn49,For reliable and affordable rail49,,,Error_not_all_lines_annotated
Für gleichwertige Lebensverhältnisse50,For equal living conditions50,,,Error_not_all_lines_annotated
"Eine Natur, die wir schützen51",A natural environment that we protect51,,,Error_not_all_lines_annotated
Für eine intakte Natur51,For an intact natural environment51,,,Error_not_all_lines_annotated
Für eine gesunde Umwelt53,For a healthy environment53,,,Error_not_all_lines_annotated
Für sauberes Wasser und lebendige Meere55,For clean water and living seas55,,,Error_not_all_lines_annotated
Eine zukunftsfeste Ernährung und Landwirtschaft57,Sustainable food and agriculture57,,,Error_not_all_lines_annotated
Für starke Landwirtinnen und Landwirte57,For strong farmers57,,,Error_not_all_lines_annotated
Für die natürlichen Grundlagen unserer Ernährung58,For the natural foundations of our food58,,,Error_not_all_lines_annotated
Für gute Ernährung60,For good nutrition60,,,Error_not_all_lines_annotated
Für einen besseren Umgang mit Tieren61,For better treatment of animals61,,,Error_not_all_lines_annotated
KAPITEL 2,CHAPTER 2,,,Error_not_all_lines_annotated
Einfach dabei sein - fair und bezahlbar64,Just be there - fair and affordable64,,,Error_not_all_lines_annotated
"Starke Teilhabe: gute Arbeit, bezahlbares Wohnen, faire Löhne67","Strong participation: good work, affordable housing, fair wages67",,,Error_not_all_lines_annotated
Für gute Arbeit und faire Löhne67,For good work and fair wages67,,,Error_not_all_lines_annotated
Für bezahlbares Wohnen69,For affordable housing69,,,Error_not_all_lines_annotated
"Für schnelles, günstiges und klimaverträgliches Bauen und Sanieren71","For fast, affordable and climate-friendly construction and renovation71",,,Error_not_all_lines_annotated
Für ein gerechtes Steuersystem73,For a fair tax system73,,,Error_not_all_lines_annotated
Eine gute Bildung für gute Chancen75,Good education for good opportunities75,,,Error_not_all_lines_annotated
Für gute und verlässliche Kitas75,For good and reliable daycare centers75,,,Error_not_all_lines_annotated
Für starke Schulen für alle Kinder76,For strong schools for all children76,,,Error_not_all_lines_annotated
"Für eine gute Berufsbildung, die allen offensteht78",For good vocational training that is open to all78,,,Error_not_all_lines_annotated
Für eine starke Hochschul- und Wissenschaftslandschaft80,For a strong university and science landscape80,,,Error_not_all_lines_annotated
Mitten im Leben - in jeder Lebensphase81,In the middle of life - at every stage of life81,,,Error_not_all_lines_annotated
Für starke Familien81,For strong families81,,,Error_not_all_lines_annotated
Für die Teilhabe der Jüngsten - gegen Kinderarmut83,For the participation of the youngest - against child poverty83,,,Error_not_all_lines_annotated
Für einen guten Start der jungen Generation84,For a good start for the young generation84,,,Error_not_all_lines_annotated
Für ein aktives und selbstbestimmtes Leben im Alter86,For an active and self-determined life in old age86,,,Error_not_all_lines_annotated
In jeder Lebensphase abgesichert87,Secure in every phase of life87,,,Error_not_all_lines_annotated
