text,text_en,cmp_code,eu_code,annotations
Alle wollen regieren.,Everyone wants to govern.,H,,1. 11.1  
Wir wollen verändern.,We want to change.,H,,2. 10.1  
Reichtum teilen.,Share the wealth.,H,,3. 11.1  
Preise senken.,Lower prices.,H,,4. 11.2  
Füreinander.,For each other.,H,,5. 11.2  
"Liebe Wähler*innen,","Dear voters,",,,6. 11.1  
"wir sind verschieden, aber die meisten von uns wollen das Gleiche: eine Gesellschaft, in der man sich gegenseitig zuhört und unterstützt, in der alle gesehen und gehört werden.","We are different, but most of us want the same thing: a society in which people listen to and support each other, in which everyone is seen and heard.",,,7. 11.2  
"Ein planbares Leben mit einer sicheren Zukunft, die Platz lässt für eigene Ziele und Entscheidungen.",A predictable life with a secure future that leaves room for personal goals and decisions.,,,8. 12.1  
"Eine Politik, die Verantwortung übernimmt, an der Seite der Menschen steht und sich um ihre Probleme kümmert.","A policy that takes responsibility, stands by people and takes care of their problems.",,,9. 12.2  
"Wir, Die Linke, kämpfen dafür, wir sind überzeugt: Es ist möglich.","We, Die Linke, are fighting for this, we are convinced: it is possible.",,,10. 11.2  
"Ein Leben, in dem alle ein sicheres Einkommen haben, die Mieten bezahlbar sind und nicht jeder Supermarkteinkauf zum Schock an der Kasse führt, ist möglich.","A life in which everyone has a secure income, rents are affordable and not every supermarket purchase leads to a shock at the checkout is possible.",,,11. 12.2  
"Ein Leben, in dem Konflikte friedlich gelöst werden, ist möglich.",A life in which conflicts are resolved peacefully is possible.,,,12. 11.1  
"Ein Leben mit wirksamer Klimapolitik, die nicht vor allem Menschen mit niedrigen und mittleren Einkommen belastet, ist möglich.",A life with effective climate policies that do not burden people with low and middle incomes in particular is possible.,,,13. 11.3  
"Ein Leben, in dem jeder Mensch die gleichen Rechte hat, ist möglich.",A life in which everyone has the same rights is possible.,,,14. 11.3  
"Ein Leben, das nicht die Lebensgrundlagen kommender Generationen zerstört, ist möglich.",A life that does not destroy the livelihoods of future generations is possible.,,,15. 11.3  
Doch dafür muss sich vieles grundlegend ändern.,But a lot has to change fundamentally for this to happen.,,,16. 11.3  
