text,text_en,cmp_code,eu_code,annotations
ZEIT FÜR DEUTSCHLAND.,TIME FOR GERMANY.,,,000
PROGRAMM DER ALTERNATIVE FÜR DEUTSCHLAND FÜR DIE WAHL ZUM 21. DEUTSCHEN BUNDESTAG,PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT,,,000
ZEIT FÜR WOHLSTAND SOZIALE MARKTWIRTSCHAFT UND GESUNDHEIT,TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH,H,,000
SOZIALE MARKTWIRTSCHAFT,SOCIAL MARKET ECONOMY,H,,201
"Wir stehen fest zu den Prinzipien der Sozialen Marktwirtschaft, die seit Jahrzehnten Wohlstand und sozialen Frieden in unserem Land sichern.","We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades.",403,,201.1
Wir wollen in einer Zeit globaler Herausforderungen die Grundwerte unserer Wirtschaftsordnung bewahren,"In a time of global challenges, we want to preserve the fundamental values of our economic order",403,,201.2
"und so weiterentwickeln, dass wir eine freiheitliche und erfolgreiche Gesellschaft gewährleisten, in der die Bürger ihr Leben eigenverantwortlich und selbstbestimmt führen können.",and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined.,201.1,,201.2
"Wir setzen uns für eine wettbewerbsfähige Wirtschaft ein, die Innovation",We are committed to a competitive economy that promotes innovation,411,,201.3
"und Unternehmertum fördert,","and entrepreneurship,",402,,201.3
Wohlstand für alle schafft,creates prosperity for all,410,,201.3
und insbesondere dem Mittelstand neue Entfaltungsmöglichkeiten eröffnet.,"and, in particular, opens up new opportunities for small and medium-sized enterprises.",704,,201.3
"Wir treten dafür ein, dass Arbeitnehmer immer deutlich bessergestellt sind als Empfänger von Sozialleistungen.",We are committed to ensuring that employees are always significantly better off than recipients of social benefits.,505,,203.1
Ihre Arbeit soll eine auskömmliche und sichere Rente gewährleisten.,Their work should guarantee an adequate and secure pension.,701,,203.1
"Wir tragen Sorge dafür, dass wirklich Bedürftige in den Grundsicherungssystemen aufgefangen werden.",We ensure that those who are really in need are covered by the basic security systems.,504,,203.2
Ein selbstgewähltes Leben auf Kosten der Allgemeinheit wird nicht gefördert.,A self-chosen life at the expense of the general public is not encouraged.,505,,203.2
Mit unseren Maßnahmen bringen wir wieder Optimismus und Zuversicht in die Gesellschaft.,Our measures will bring optimism and confidence back into society.,305.1,,201.2
"Viele Regelungen der EU schwächen Wirtschaft und Wettbewerb,",Many EU regulations weaken the economy and competition,110,,204.1
statt sie zu stärken.,instead of strengthening them.,410,,204.1
Beispiele dafür sind der „Green Deal“ und der Einfluss auf Energiefragen.,"Examples of this are the ""Green Deal"" and the influence on energy issues.",110,,204.1
Freies Unternehmertum und Wirtschaftsstandort stärken,Strengthening free enterprise and the business location,H,,101
"Wir streben eine funktionierende Wirtschaft an, die aus eigener Kraft und Profitabilität in Forschung und Entwicklung investiert, um dem internationalen Markt innovative und wettbewerbsfähige Angebote zu machen.",We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products.,411,,102
Deutsche Unternehmen sollen an der Weltspitze der Exportunternehmen stehen,German companies should be among the world's leading exporters,410,,101
und „Made in Germany“ wieder zu einem Markenzeichen für Exzellenz und Einzigartigkeit machen.,"and once again make ""Made in Germany"" a trademark for excellence and uniqueness.",601.1,,000
Dafür streben wir eine auf Leistung und Talentförderung ausgelegte Schul- und Berufsausbildung an.,"To this end, we are striving for school and vocational training that is geared towards performance and talent development.",411,,201
