CMP Code,AfD,BSW,CDU/CSU,Die Linke,FDP,Grüne,SPD,SSW,Total
000,9 (0.1%),2 (0.0%),1 (0.0%),0 (0.0%),5 (0.0%),2 (0.0%),9 (0.1%),8 (0.0%),36 (0.2%)
101,0 (0.0%),1 (0.0%),17 (0.1%),1 (0.0%),10 (0.1%),5 (0.0%),10 (0.1%),6 (0.0%),50 (0.3%)
102,0 (0.0%),3 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),3 (0.0%)
103.1,4 (0.0%),4 (0.0%),4 (0.0%),16 (0.1%),4 (0.0%),15 (0.1%),15 (0.1%),10 (0.1%),72 (0.4%)
103.2,0 (0.0%),0 (0.0%),1 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%)
104,20 (0.1%),2 (0.0%),139 (0.8%),2 (0.0%),44 (0.3%),67 (0.4%),66 (0.4%),20 (0.1%),360 (2.1%)
105,5 (0.0%),90 (0.5%),0 (0.0%),68 (0.4%),1 (0.0%),21 (0.1%),10 (0.1%),0 (0.0%),195 (1.1%)
106,12 (0.1%),35 (0.2%),10 (0.1%),44 (0.3%),7 (0.0%),43 (0.2%),28 (0.2%),13 (0.1%),192 (1.1%)
107,22 (0.1%),16 (0.1%),49 (0.3%),50 (0.3%),24 (0.1%),101 (0.6%),76 (0.4%),39 (0.2%),377 (2.2%)
108,3 (0.0%),3 (0.0%),49 (0.3%),16 (0.1%),23 (0.1%),75 (0.4%),67 (0.4%),36 (0.2%),272 (1.6%)
109,33 (0.2%),5 (0.0%),10 (0.1%),0 (0.0%),13 (0.1%),13 (0.1%),0 (0.0%),2 (0.0%),76 (0.4%)
110,100 (0.6%),18 (0.1%),13 (0.1%),6 (0.0%),6 (0.0%),2 (0.0%),1 (0.0%),2 (0.0%),148 (0.8%)
201.1,152 (0.9%),74 (0.4%),41 (0.2%),29 (0.2%),49 (0.3%),37 (0.2%),13 (0.1%),23 (0.1%),418 (2.4%)
201.2,13 (0.1%),8 (0.0%),20 (0.1%),52 (0.3%),12 (0.1%),114 (0.7%),36 (0.2%),43 (0.2%),298 (1.7%)
202.1,70 (0.4%),69 (0.4%),53 (0.3%),65 (0.4%),49 (0.3%),213 (1.2%),81 (0.5%),86 (0.5%),686 (3.9%)
202.2,2 (0.0%),3 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),0 (0.0%),0 (0.0%),6 (0.0%)
202.3,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),3 (0.0%),1 (0.0%),1 (0.0%),5 (0.0%)
202.4,15 (0.1%),5 (0.0%),0 (0.0%),4 (0.0%),0 (0.0%),2 (0.0%),0 (0.0%),2 (0.0%),28 (0.2%)
203,10 (0.1%),3 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),1 (0.0%),2 (0.0%),0 (0.0%),17 (0.1%)
204,4 (0.0%),3 (0.0%),0 (0.0%),9 (0.1%),5 (0.0%),5 (0.0%),6 (0.0%),3 (0.0%),35 (0.2%)
301,8 (0.0%),10 (0.1%),24 (0.1%),28 (0.2%),5 (0.0%),34 (0.2%),27 (0.2%),43 (0.2%),179 (1.0%)
302,2 (0.0%),1 (0.0%),1 (0.0%),6 (0.0%),12 (0.1%),6 (0.0%),2 (0.0%),4 (0.0%),34 (0.2%)
303,38 (0.2%),51 (0.3%),128 (0.7%),4 (0.0%),157 (0.9%),91 (0.5%),58 (0.3%),25 (0.1%),552 (3.1%)
